,formatted_address,latitud,longitud,opening_hours,hora,dia,rating,user_ratings_total,cp,distrito
Librería Tirant lo Blanch,"Carrer del Gravador Esteve, 5, L'Eixample, 46004 València, Valencia, España",39.4711105,-0.3675675,True,14:50:44,2024-02-09,4.5,67,46004,L'Eixample
Libreria- Papeleria TINA,"Av. de la Plata, 15, Quatre Carreres, 46013 València, Valencia, España",39.453769,-0.3707477,True,14:50:44,2024-02-09,4.5,78,46013,Quatre Carreres
El Cárabo,"Carrer de Sant Jacint Castanyeda, 8, Quatre Carreres, 46004 València, Valencia, España",39.4598171,-0.3627705,True,14:50:42,2024-02-09,4.1,31,46004,Quatre Carreres
Cuánto Cuento,"Carrer de Salamanca, 16, L'Eixample, 46005 València, Valencia, España",39.4667046,-0.3649056,True,14:50:44,2024-02-09,1.0,1,46005,L'Eixample
Re-Read Librería Lowcost,"Gran Vía de Ramón y Cajal, 45, Extramurs, 46007 Valencia, España",39.4674215,-0.3832923,False,14:50:40,2024-02-09,4.5,996,46007,Extramurs
Libreria Salamanca,"Carrer de Salamanca, 42, L'Eixample, 46005 València, Valencia, España",39.4647967,-0.3634585,False,14:50:42,2024-02-09,4.8,30,46005,L'Eixample
Libreria,"Carrer de Dénia, L'Eixample, 46006 València, Valencia, España",39.4634813,-0.3737323,False,14:50:44,2024-02-09,4.0,2,46006,L'Eixample
Librería miranfú,"C/ dels Centelles, 23, L'Eixample, 46006 València, Valencia, España",39.4594641,-0.3722099,False,14:50:44,2024-02-09,4.7,102,46006,L'Eixample
Libreria De OCasión,"Carrer del Mestre Gozalbo, 6, L'Eixample, 46005 València, Valencia, España",39.4659189,-0.3699957,False,14:50:44,2024-02-09,5.0,1,46005,L'Eixample
Papelería Barco de Papel,"Carrer de Salamanca, 47, L'Eixample, 46005 València, Valencia, España",39.464386,-0.3627177,True,14:50:42,2024-02-09,4.9,65,46005,L'Eixample
Librería Bartleby,"C/ de Cadis, 50, L'Eixample, 46006 València, Valencia, España",39.46163689999999,-0.3735358,False,14:50:44,2024-02-09,4.7,290,46006,L'Eixample
Librería Viridiana,"C/ de les Arts Gràfiques, 38, El Pla del Real, 46010 València, Valencia, España",39.47580019999999,-0.3596334,True,14:50:43,2024-02-09,4.7,30,46010,Pla del Real
Librería El Imperio,"Carrer de Sueca, 29, L'Eixample, 46006 València, Valencia, España",39.4619319,-0.3752872,False,14:50:44,2024-02-09,4.8,329,46006,L'Eixample
Ubik Café Cafetería Librería,"Carrer del Literat Azorín, 13, L'Eixample, 46003 València, Valencia, España",39.4604432,-0.3738929,True,14:50:44,2024-02-09,4.3,3841,46003,L'Eixample
Llibreria De Vell Ruzafa,"Carrer de Dénia, 14, L'Eixample, 46004 València, Valencia, España",39.4635,-0.3736278,False,14:50:44,2024-02-09,4.6,14,46004,L'Eixample
La Primera Libros,"C/ de Guillem de Castro, 106, Ciutat Vella, 46003 València, Valencia, España",39.4776865,-0.3834425,False,14:50:40,2024-02-09,4.6,78,46003,Ciutat Vella
José Antonio López Herrero,"Gran Via de Ferran el Catòlic, 70, Extramurs, 46008 Valencia, España",39.4749895,-0.3878887,False,14:50:40,2024-02-09,5.0,1,46008,Extramurs
Llibreria Ramon Llull,"C/ de la Corona, 5, Ciutat Vella, 46003 València, Valencia, España",39.4776975,-0.3810918,False,14:50:27,2024-02-09,4.8,280,46003,Ciutat Vella
Leolo. Librería infantil y juvenil internacional y juguetería didáctica.,"C/ del Túria, 50, Extramurs, 46008 València, Valencia, España",39.4773561,-0.3852891,False,14:50:26,2024-02-09,4.7,208,46008,Extramurs
La Benebotiga,"C/ de la Corona, 36, Ciutat Vella, 46003 València, Valencia, España",39.4788181,-0.3830386,True,14:50:26,2024-02-09,4.2,5,46003,Ciutat Vella
Librería Izquierdo,"Gran Via de Ferran el Catòlic, 12, Extramurs, 46008 Valencia, España",39.47050309999999,-0.3847126,False,14:50:40,2024-02-09,4.5,88,46008,Extramurs
Libreria Laia,"Carrer del Moro Zeid, 2, Ciutat Vella, 46001 València, Valencia, España",39.475367,-0.3806693,False,14:50:30,2024-02-09,0.0,0,46001,Ciutat Vella
Librería oferta,"Plaça de la Verge, 8, Ciutat Vella, 46003 València, Valencia, España",39.4766806,-0.3749548,False,14:50:30,2024-02-09,0.0,0,46003,Ciutat Vella
EDISOL LIBROS,"C/ del Pla de la Saïdia, 18, La Saïdia, 46009 València, Valencia, España",39.483032,-0.3811099,False,14:50:27,2024-02-09,5.0,2,46009,La Saïdia
PAPELERÍA BELLVER,"Av. de Burjassot, 245, Benicalap, 46015 València, Valencia, España",39.4948957,-0.396144,False,14:50:27,2024-02-09,4.8,93,46015,Benicalap
Papelería El Parque,"EL PARQUE, C/ de José Grollo, 135, bajo ( PAPELERIA, Benicalap, 46025 València, Valencia, España",39.494223,-0.3946658,False,14:50:27,2024-02-09,4.6,231,46025,Benicalap
Libreria Papeleria Agustí S.L.,"C/ del Marqués de Montortal, 10, Rascanya, 46019 València, Valencia, España",39.4927492,-0.3747292,False,14:50:37,2024-02-09,4.4,44,46019,Rascanya
La Librería de Le Monde diplomatique,"C. del Pintor Sorolla, nº 19, 3º, Ciutat Vella, 46002 València, Valencia, España",39.4707268,-0.3737487,False,14:50:30,2024-02-09,0.0,0,46002,Ciutat Vella
Todos Contentos y Yo Tambien Libreria,"Plaça de Mossén Sorell, 10, Ciutat Vella, 46003 València, Valencia, España",39.4779748,-0.380234,False,14:50:27,2024-02-09,5.0,24,46003,Ciutat Vella
La Traca llibreria i papereria,"C/ d'Enric Navarro, 15, Benimaclet, 46020 València, Valencia, España",39.485102,-0.3590867,False,14:50:37,2024-02-09,4.8,153,46020,Benimaclet
Librería La Rossa,"Carrer de la Murta, 6, Benimaclet, 46020 València, Valencia, España",39.4860733,-0.3582687,False,14:50:37,2024-02-09,4.8,250,46020,Benimaclet
Papeleria - Libreria Benipaper,"C. de l'Arquitecte Arnau, 57, Benimaclet, 46020 València, Valencia, España",39.4860823,-0.3564793,False,14:50:28,2024-02-09,4.7,96,46020,Benimaclet
No disponible,"Plaça d'Emili Beüt i Belenguer, 7, Benimaclet, 46020 València, Valencia, España",39.489521,-0.3567468,False,14:50:28,2024-02-09,5.0,13,46020,Benimaclet
Estudio 64 +Librería-Galería +Ilustración,"Carrer de Benicolet, 2, Benimaclet, 46020 València, Valencia, España",39.48646919999999,-0.3591147,False,14:50:37,2024-02-09,4.8,132,46020,Benimaclet
PAPELERIA -LIBRERIA- PASQUI,"pasqui.pascual@gmail.com, C/SALVADOR ALMENAR 2, Benimaclet, tel.963, 692 857, bajo A, 46020 Valencia, España",39.4880863,-0.3609895,False,14:50:37,2024-02-09,4.9,27,46020,Benimaclet
Mercado del Libro Usado de Benimaclet,"C/ de Sant Columbà, 14, bajo, Benimaclet, 46020 Valencia, España",39.4899155,-0.3574724,False,14:50:28,2024-02-09,3.9,131,46020,Benimaclet
Cafetería Librería Letras y Vinos,"C/ del Músic Belando, 15, Benimaclet, 46020 València, Valencia, España",39.48752,-0.35959,False,14:50:28,2024-02-09,4.7,166,46020,Benimaclet
Libro Ideas - Arena,"C.C. Arena, C/ de Santa Genoveva Torres, 21, 46019 València, España",39.4952455,-0.3627185,True,14:50:37,2024-02-09,4.4,344,46019,Rascanya
LIBRERIA PAPELERIA BLANCO Y NEGRO,"Av. de Valladolid, 11, Benimaclet, 46020 València, Valencia, España",39.489082,-0.3598321,False,14:50:28,2024-02-09,4.4,68,46020,Benimaclet
La Librería UPV (Editorial UPV),"Camí de Vera, S/N, Algirós, 46022 València, Valencia, España",39.48150860000001,-0.344335,True,14:50:42,2024-02-09,4.9,15,46022,Algirós
Librería Primado,"Av. del Primat Reig, 102, El Pla del Real, 46010 València, Valencia, España",39.4815479,-0.3600495,False,14:50:28,2024-02-09,4.7,162,46010,Pla del Real
Punto y Coma,"Carrer de Ramon Llull, 41, Algirós, 46021 València, Valencia, España",39.4777629,-0.3464906,True,14:50:42,2024-02-09,0.0,0,46021,Algirós
La Repartidora,"C. del Reverend Rafael Tramoyeres, 8, Benimaclet, 46020 València, Valencia, España",39.4851087,-0.3614322,False,14:50:28,2024-02-09,4.9,129,46020,Benimaclet
Kiosko Pepa,"C/ d'Emili Baró, Benimaclet, 46020 València, Valencia, España",39.49034839999999,-0.3594517,False,14:50:28,2024-02-09,3.0,2,46020,Benimaclet
Libreria Gaia,"Carrer de Daniel Balaciart, 4, Benimaclet, 46020 València, Valencia, España",39.4799131,-0.3560846,False,14:50:28,2024-02-09,4.8,96,46020,Benimaclet
Abacus Cooperativa | Arena,"C/ de Santa Genoveva Torres, 21, Rascanya, 46019 València, Valencia, España",39.4943754,-0.362413,True,14:50:37,2024-02-09,4.0,86,46019,Rascanya
Librerias París-Valencia,"C. de Navellos, 8, Ciutat Vella, 46003 València, Valencia, España",39.476855,-0.3750415,False,14:50:30,2024-02-09,4.5,270,46003,Ciutat Vella
Arribada Llibres,"C/ de l'Hedra, 2, Ciutat Vella, 46001 València, Valencia, España",39.4726067,-0.3784661,False,14:50:30,2024-02-09,4.8,26,46001,Ciutat Vella
Llibreria Fan Set,"C. de Sant Ferran, 12, Ciutat Vella, 46001 València, Valencia, España",39.4729986,-0.3770216,False,14:50:30,2024-02-09,4.7,33,46001,Ciutat Vella
PRAXIS : Librería Asociativa,"C/ de les Avellanes, 8, Ciutat Vella, 46003 València, Valencia, España",39.4742239,-0.3743941,False,14:50:30,2024-02-09,5.0,14,46003,Ciutat Vella
"Libreria ""La Guarida de las Maravillas""","C/ de la Tapineria, 12, Ciutat Vella, 46001 València, Valencia, España",39.4745087,-0.3764535,False,14:50:30,2024-02-09,4.4,77,46001,Ciutat Vella
Librería Patagonia,"C. del Hospital, 1, Ciutat Vella, 46001 Valencia, España",39.47104059999999,-0.3803023,False,14:50:39,2024-02-09,4.7,244,46001,Ciutat Vella
Libreria de lance,"Plaça de la Mare de Déu de la Pau, 2, Ciutat Vella, 46001 València, Valencia, España",39.4741907,-0.376855,False,14:50:30,2024-02-09,4.0,1,46001,Ciutat Vella
Libreria Al Tossal,"C/ de Balmes, 11, Ciutat Vella, 46001 València, Valencia, España",39.473442,-0.381534,False,14:50:30,2024-02-09,3.5,41,46001,Ciutat Vella
Librería Paulinas,"Pça. de la Reina, 2, Ciutat Vella, 46003 València, Valencia, España",39.473939,-0.3751467,False,14:50:30,2024-02-09,4.6,344,46003,Ciutat Vella
El Asilo del Libro,"C. de Sant Ferran, 14, Ciutat Vella, 46001 València, Valencia, España",39.473036,-0.377109,False,14:50:30,2024-02-09,4.4,163,46001,Ciutat Vella
Librería Futurama Cómics,"C/ de Guillem de Castro, 53, Extramurs, 46007 València, Valencia, España",39.4700141,-0.3831402,False,14:50:40,2024-02-09,4.7,1807,46007,Extramurs
AIDA Books&More Valencia,"C/ de Moratín, 11, Ciutat Vella, 46002 València, Valencia, España",39.4711883,-0.3758603,False,14:50:30,2024-02-09,4.7,233,46002,Ciutat Vella
Auca Llibres Antics,"Plaça de la Mercè, 4, Ciutat Vella, 46001 València, Valencia, España",39.4725064,-0.3777758000000001,False,14:50:30,2024-02-09,4.3,52,46001,Ciutat Vella
Llig - Llibreria de la Generalitat Valenciana,"Palacio Valeriola, C. de Navellos, 15, Ciutat Vella, 46003 Valencia, España",39.47742179999999,-0.375172,False,14:50:30,2024-02-09,4.2,29,46003,Ciutat Vella
Papeleria y Libreria Titelles,"C de Campoamor, 103, Algirós, 46022 València, Valencia, España",39.46926870000001,-0.3398348,False,14:50:31,2024-02-09,4.4,114,46022,Algirós
BIBLIOTECA SOLIDARIA,"Carrer de la Indústria, 8, Camins al Grau, 46022 València, Valencia, España",39.4638965,-0.343652,False,14:50:31,2024-02-09,5.0,2,46022,Camins al Grau
Librería Papelería El gato de papel,"C/ dels Lleons, 37, Camins al Grau, 46022 València, Valencia, España",39.4680638,-0.3477532,False,14:50:42,2024-02-09,4.8,24,46022,Camins al Grau
Papelería/Copistería Alfil.be La Amistad,"C/ dels Sants Just i Pastor, 51, Algirós, 46022 València, Valencia, España",39.4697894,-0.3479571,True,14:50:42,2024-02-09,4.1,52,46022,Algirós
Libreria papeleria Gamma,"C/ de les Illes Canàries, 154, bj, Camins al Grau, 46023 València, Valencia, España",39.4614055,-0.3411167,False,14:50:31,2024-02-09,4.5,160,46023,Camins al Grau
Papelería Ébano,"Carrer del Mestre Valls, 30, Camins al Grau, 46022 València, Valencia, España",39.4659863,-0.3411729,False,14:50:31,2024-02-09,4.7,29,46022,Camins al Grau
BiblioCafé Escuela de Escritura,"C/ del Poeta Durán i Tortajada, 20, Algirós, 46022 València, Valencia, España",39.47132149999999,-0.3435621,False,14:50:31,2024-02-09,4.8,104,46022,Algirós
Librería Berlín,"C/ de Polo y Peyrolón, 1, El Pla del Real, 46021 València, Valencia, España",39.4711953,-0.3563137,False,14:50:42,2024-02-09,4.5,307,46021,Pla del Real
Abacus Cooperativa | Aqua,"C/ de Menorca, 19, Camins al Grau, 46023 València, Valencia, España",39.4566922,-0.3457674,True,14:50:31,2024-02-09,4.1,226,46023,Camins al Grau
Fundación Padre Juan Schenk,"Carrer de la Indústria, 8, bajo izquierda, Camins al Grau, 46022 València, Valencia, España",39.4638398,-0.3436795,False,14:50:31,2024-02-09,4.0,9,46022,Camins al Grau
Libreria La Batisfera,"C/ de Carles Ros, 32, Poblats Marítims, 46011 València, Valencia, España",39.4706271,-0.3285981,False,14:50:31,2024-02-09,5.0,23,46011,Poblados Marítimos
Itaca Libreria,"C/ de Sant Vicent Màrtir, 214, Jesús, 46007 València, Valencia, España",39.457271,-0.3838078,False,14:50:44,2024-02-09,5.0,2,46007,Extramurs
Librería De Lance,"Carrer de l'Uruguai, Jesús, 46007 València, España",39.4550414,-0.3865139,False,14:50:43,2024-02-09,3.0,2,46007,Extramurs
Libreria Papeleria Helene,"C/ de l'Enginyer José Sirera, 37, Jesús, 46017 València, Valencia, España",39.4461638,-0.3904002,False,14:50:43,2024-02-09,4.7,19,46017,Jesus
Librería Papelería Seguí,"C/ de Jerónima Galés, 20, Jesús, 46017 València, Valencia, España",39.4539892,-0.3900149000000001,False,14:50:43,2024-02-09,4.6,175,46017,Jesus
Librería y Antigüedades Monos de San Telmo,"Carrer de l'Uruguai, 59, Jesús, 46007 València, Valencia, España",39.4550507,-0.3865092,False,14:50:43,2024-02-09,5.0,15,46007,Extramurs
Librería y espacio cultural Vuelo de palabras,"Av. de Giorgeta, 22, Jesús, 46007 València, Valencia, España",39.4598077,-0.3852763,False,14:50:39,2024-02-09,4.4,9,46007,Extramurs
Llibreria Paideia,"Carrer José María Mortes Lerma, 13, Patraix, 46014 València, Valencia, España",39.46290030000001,-0.3996192,False,14:50:36,2024-02-09,4.6,73,46014,Patraix
Papereria Llibreria Regals Abaco Ml Padi,"Carrer del Dr. Pérez Feliu, 13, Patraix, 46014 València, Valencia, España",39.4603448,-0.402365,False,14:50:36,2024-02-09,3.1,8,46014,Patraix
Kiosco Imperial,"C/ de Fra Juníper Serra, 85, Patraix, 46014 València, Valencia, España",39.4636192,-0.4011418,False,14:50:36,2024-02-09,4.6,46,46014,Patraix
LIBRERIA GALERADAS,"C/ d'Àngel Guimerà, 44, Extramurs, 46008 València, Valencia, España",39.4698864,-0.3883055,False,14:50:40,2024-02-09,4.8,13,46008,Extramurs
Libros Fugitivos,"C. Marqués de Zenete, 21, Extramurs, 46007 Valencia, España",39.4646797,-0.3861955,False,14:50:39,2024-02-09,5.0,297,46007,Extramurs
Librería Annur,"C/ del Duc de Mandas, 23a, Rascanya, 46019 València, Valencia, España",39.4941533,-0.3697995,False,14:50:37,2024-02-09,4.7,26,46019,Rascanya
Papelería Mapamundi,"Avinguda de la Constitució, 136, La Saïdia, 46009 València, Valencia, España",39.48995,-0.3753666,False,14:50:37,2024-02-09,4.4,29,46009,La Saïdia
Aida Books&More,"C/ de Molinell, 14, La Saïdia, 46010 València, Valencia, España",39.4848506,-0.3684859,False,14:50:37,2024-02-09,4.7,614,46010,La Saïdia
Dino Papeleria Librería,"Carrer de José Soto Micó, 41, bajo, Jesús, 46017 Valencia, España",39.4402699,-0.3886298,False,14:50:43,2024-02-09,4.9,37,46017,Jesus
Librería Bangarang,"C/ de l'Historiador Diago, 9, Extramurs, 46007 València, Valencia, España",39.4672334,-0.3841488,False,14:50:40,2024-02-09,4.9,292,46007,Extramurs
Librerías París Valencia,"C/ de Pelai, 7, Extramurs, 46007 València, Valencia, España",39.4672736,-0.3783433,False,14:50:44,2024-02-09,4.7,3849,46007,Extramurs
Librería Anticuario,"C/ de Joan Llorenç, 62, Extramurs, 46008 València, Valencia, España",39.4697936,-0.3889463,False,14:50:40,2024-02-09,5.0,1,46008,Extramurs
Papelería Libreria Suico,"Brasil, 12, L'Olivereta, 46018 Valencia, España",39.4709932,-0.3956157,False,14:50:40,2024-02-09,4.0,46,46018,L'Olivereta
Patrimonio Ediciones,"Carrer de Martí l'Humà, 12, Bajo, Extramurs, 46008 València, Valencia, España",39.4710065,-0.3914091,False,14:50:40,2024-02-09,4.8,4,46008,Extramurs
papelería-librería-manualidades Quart133 en Valencia,"C/ de Quart, 133, bajo drcha, Extramurs, 46008 Valencia, España",39.4745159,-0.3909117,False,14:50:40,2024-02-09,4.8,36,46008,Extramurs
Papelería Baleares 18,"Av. de les Balears, 18, Camins al Grau, 46023 València, Valencia, España",39.4628742,-0.354806,False,14:50:42,2024-02-09,4.5,68,46023,Camins al Grau
A4LAB Copistería Papelería y Libros,"C/ dels Sants Just i Pastor, 13, bajo, Algirós, 46021 València, Valencia, España",39.4709037,-0.3518569,False,14:50:42,2024-02-09,4.5,96,46021,Algirós
Librerías París-Valencia,"Gran Via del Marqués del Túria, 74, L'Eixample, 46005 València, Valencia, España",39.4678718,-0.36614,False,14:50:42,2024-02-09,4.7,970,46005,L'Eixample
Swift books,"C/ de Cadis, 17, L'Eixample, 46006 València, Valencia, España",39.4634568,-0.374564,False,14:50:44,2024-02-09,4.4,40,46006,L'Eixample
Book Lovers Valencia,"C/ de Sevilla, 5, L'Eixample, 46006 València, Valencia, España",39.464246,-0.3741408,False,14:50:44,2024-02-09,4.9,193,46006,L'Eixample
"""Un Poc De Tot"" Papelería Librería","C/ de la Reina Na Maria, 13, bajo, Ensanche, 46006 València, Valencia, España",39.4615017,-0.3717667,False,14:50:44,2024-02-09,5.0,37,46006,L'Eixample
Papelería Alpe,"Carrer del Músic Padilla, 4, L'Eixample, 46005 València, Valencia, España",39.4632094,-0.3707655,False,14:50:44,2024-02-09,4.4,60,46005,L'Eixample
